DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V03_0022,South Carolina and American General Gazette,"SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE , FRIDAY, NOVEMBER 24 TO FRIDAY, DECEMBE",South Carolina and American General Gazette,SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE,title,/TaggedPDF-doc/doc[22]/title/pub
NDAR_V03_0032,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, DECEMBER 9, 1775 Provi",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[32]/title/pub
NDAR_V03_0041,Virginia Gazette,"PINKNEY'S VIRGINIA GAZETTE , SATURDAY, DECEMBER 9, 1775 Willi",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[41]/title/pub
NDAR_V03_0072,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , THURSDAY, DECEMBER 21, 1775 Advi",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[72]/title/pub
NDAR_V03_0073,Boston Gazette,"BOSTON GAZETTE , MONDAY, DECEMBER 11, 1775 Watert",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[73]/title/pub
NDAR_V03_0083,Newport Mercury,"NEWPORT MERCURY , MONDAY, DECEMBER 11, 1775 Newpor",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[83]/title/pub
NDAR_V03_0103,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , TUESDAY, DECEMBER 12, 1775 Phila",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[103]/title/pub
NDAR_V03_0138,Pennsylvania Journal,"PENNSYLVANIA JOURNAL , WEDNESDAY, DECEMBER 13, 1775 Phi",Pennsylvania Journal,PENNSYLVANIA JOURNAL,title,/TaggedPDF-doc/doc[138]/title/pub
NDAR_V03_0140,Virginia Gazette,"PINKNEY'S VIRGINIA GAZETTE , WEDNESDAY, DECEMBER 13, 1775 Wil",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[140]/title/pub
NDAR_V03_0147,New England Chronicle,"NEW ENGLAND CHRONICLE , THURSDAY, DECEMBER 7 TO THURSDAY, DECE",New England Chronicle,NEW ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[147]/title/pub
