DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V06_0009,New York Journal,"NEW-YORK JOURNAL , THURSDAY, AUGUST 1, 1776 New Yor",New York Journal,NEW-YORK JOURNAL,title,/TaggedPDF-doc/doc[9]/title/pub
NDAR_V06_0023,Remembrancer,"JOHN ALMON'S REMEMBRANCER , 1776 St. Vincent's, Aug 1.",Remembrancer,REMEMBRANCER,title,/TaggedPDF-doc/doc[23]/title/pub
NDAR_V06_0025,New England Chronicle,"NEW-ENGLAND CHRONICLE , FRIDAY, AUGUST 2, 1776 [Boston,",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[25]/title/pub
NDAR_V06_0028,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, AUGUST 2, 1776 New-Londo",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[28]/title/pub
NDAR_V06_0045,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, AUGUST 2, 1776 Williamsb",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[45]/title/pub
NDAR_V06_0048,The Freeman's Journal,"THE FREEMAN'S JOURNAL , SATURDAY, AUGUST 3, 1776 Portsmo",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[48]/title/pub
NDAR_V06_0054,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, 3, 1776 Providence, Au",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[54]/title/pub
NDAR_V06_0068,Constitutional Gazette,"CONSTITUTIONAL GAZETTE , SATURDAY AUGUST 3, 1776 New-York",Constitutional Gazette,CONSTITUTIONAL GAZETTE,title,/TaggedPDF-doc/doc[68]/title/pub
NDAR_V06_0074,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, AUGUST 3, 1776 William",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[74]/title/pub
NDAR_V06_0100,Newport Mercury,"NEWPORT MERCURY , MONDAY, AUGUST 5, 1776 Newport,",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[100]/title/pub
NDAR_V06_0158,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, AUGUST 7, 1776 Philad",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/doc[158]/title/pub
NDAR_V06_0160,Maryland Journal,"MARYLAND JOURNAL , WEDNESDAY, AUGUST 7, 1776 Baltim",Maryland Journal,MARYLAND JOURNAL,title,/TaggedPDF-doc/doc[160]/title/pub
NDAR_V06_0177,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, AUGUST 8, 1776 [Boston",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[177]/title/pub
NDAR_V06_0185,New York Journal,"NEW-YORK JOURNAL , THURSDAY, AUGUST 8, 1776 New Yor",New York Journal,NEW-YORK JOURNAL,title,/TaggedPDF-doc/doc[185]/title/pub
NDAR_V06_0193,Essex Journal and New Hampshire Packet,"ESSEX JOURNAL AND NEW HAMPSHIRE PACKET , FRIDAY, AUGUST 9, 1776 Newbury P",Essex Journal and New Hampshire Packet,ESSEX JOURNAL AND NEW HAMPSHIRE PACKET,title,/TaggedPDF-doc/doc[193]/title/pub
NDAR_V06_0196,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, AUGUST 9, 1776 New-Londo",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[196]/title/pub
NDAR_V06_0201,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, AUGUST 9, 1776 Williamsb",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[201]/title/pub
NDAR_V06_0209,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, AUGUST 10, 1776 Provid",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[209]/title/pub
NDAR_V06_0220,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, AUGUST 10, 1776 Willia",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[220]/title/pub
NDAR_V06_0239,Newport Mercury,"NEWPORT MERCURY , MONDAY, AUGUST 12, 1776 Newport,",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[239]/title/pub
NDAR_V06_0240,Connecticut Courant,"CONNECTICUT COURANT , MONDAY, AUGUST 12, 1776 Hartford",Connecticut Courant,CONNECTICUT COURANT,title,/TaggedPDF-doc/doc[240]/title/pub
NDAR_V06_0253,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, SEPTEMBER 5, 1776 Hali",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[253]/title/pub
NDAR_V06_0273,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , TUESDAY, AUGUST 13, 1776 Philade",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[273]/title/pub
NDAR_V06_0287,New England Chronicle,"NEW-ENGLAND CHRONICLE , AUGUST 15, 1776. Wanted Immediat",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[287]/title/pub
NDAR_V06_0296,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, AUGUST 14, 1776 Thirt",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/doc[296]/title/pub
NDAR_V06_0307,Continental Journal,"CONTINENTAL JOURNAL , THURSDAY, AUGUST 15, 1776 Boston",Continental Journal,CONTINENTAL JOURNAL,title,/TaggedPDF-doc/doc[307]/title/pub
