DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V04_0010,Newport Mercury,"NEWPORT MERCURY , MONDAY, FEBRUARY 19, 1776 New",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/text/doc[10]/title/pub
NDAR_V04_0012,New York Gazette,"NEW-YORK GAZETTE , MONDAY, FEBRUARY 19, 1776 New",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/text/doc[12]/title/pub
NDAR_V04_0039,London Chronicle,"LONDON CHRONICLE , SATURDAY, APRIL 13 TO TUESDAY, APRIL 1",London Chronicle,LONDON CHRONICLE,title,/TaggedPDF-doc/text/doc[39]/title/pub
NDAR_V04_0052,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, FEBRUARY 21, 1776",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/text/doc[52]/title/pub
NDAR_V04_0059,New England Chronicle,"NEW ENGLAND CHRONICLE , THURSDAY, FEBRUARY 8 TO THURSDAY, FEBR",New England Chronicle,NEW ENGLAND CHRONICLE,title,/TaggedPDF-doc/text/doc[59]/title/pub
NDAR_V04_0090,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, FEBRUARY 23, 1776 Wil",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/text/doc[90]/title/pub
NDAR_V04_0105,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, FEBRUARY 24, 1776 P",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/text/doc[105]/title/pub
NDAR_V04_0133,Pennsylvania Packet,"PENNSYLVANIA PACKET , MONDAY, FEBRUARY 26, 1776 Phi",Pennsylvania Packet,PENNSYLVANIA PACKET,title,/TaggedPDF-doc/text/doc[133]/title/pub
NDAR_V04_0175,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, FEBRUARY 28, 1776",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/text/doc[175]/title/pub
NDAR_V04_0220,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, MARCH 2, 1776 Provi",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/text/doc[220]/title/pub
NDAR_V04_0251,Boston Gazette,"BOSTON GAZETTE , MONDAY, MARCH 4, 1776 Waterto",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/text/doc[251]/title/pub
NDAR_V04_0281,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , TUESDAY, MARCH 5, 1776 Philad",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/text/doc[281]/title/pub
NDAR_V04_0302,Constitutional Gazette,"CONSTITUTIONAL GAZETTE , WEDNESDAY, MARCH 6, 1776 New-",Constitutional Gazette,CONSTITUTIONAL GAZETTE,title,/TaggedPDF-doc/text/doc[302]/title/pub
NDAR_V04_0328,New York Packet,"NEW YORK PACKET , THURSDAY, MARCH 7, 1776 New-Y",New York Packet,NEW YORK PACKET,title,/TaggedPDF-doc/text/doc[328]/title/pub
NDAR_V04_0329,New York Journal,"NEW-YORK JOURNAL , THURSDAY,MARCH 7, 1776 For Ir",New York Journal,NEW-YORK JOURNAL,title,/TaggedPDF-doc/text/doc[329]/title/pub
NDAR_V04_0355,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, MARCH 8, 1776 New-Lon",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/text/doc[355]/title/pub
