DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_1892,American Gazette,"AMERICAN GAZETTE , TUESDAY, JULY 23, 1776 Salem, Ju",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[1892]/title/pub
NDAR_V05_1937,Pennsylvania Ledger,"PENNSYLVANIA LEDGER , SATURDAY, AUGUST 3, 1776 New-Yor",Pennsylvania Ledger,PENNSYLVANIA LEDGER,title,/TaggedPDF-doc/doc[1937]/title/pub
NDAR_V05_1956,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, JULY 26, 1776 New-London",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[1956]/title/pub
NDAR_V05_1968,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, JULY 26, 1776 Williamsbu",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[1968]/title/pub
NDAR_V05_1970,The Freeman's Journal,"THE FREEMAN'S JOURNAL , SATURDAY, JULY 27, 1776 Portsmou",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[1970]/title/pub
NDAR_V05_1976,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, JULY 27, 1776 Providen",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[1976]/title/pub
NDAR_V05_1989,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, JULY 27, 1776 Williams",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[1989]/title/pub
NDAR_V05_2017,Boston Gazette,"BOSTON GAZETTE , MONDAY, JULY 29, 1776 Watertown,",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[2017]/title/pub
NDAR_V05_2023,Newport Mercury,"NEWPORT MERCURY , MONDAY, JULY 29, 1776 Newport, J",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[2023]/title/pub
NDAR_V05_2028,New York Gazette,"NEW-YORK GAZETTE , MONDAY, JULY 29, 1776 New York,",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/doc[2028]/title/pub
NDAR_V05_2086,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, JULY 31, 1776 [Philad",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/doc[2086]/title/pub
